title,authors,released,publisher,label,serialization,volume,vol error,entry link,img src
ごきげんよう、一局いかが？(1),卯花つかさ,2023-04-27,芳文社,きらら,,1,,http://yurinavi.com/2023/03/29/ikkyokuikaga-1/,http://yurinavi.com/wp-content/uploads/2023/04/ikkyokuikaga-1.jpg
異世界女子監獄 (3),いづみみなみ,2023-04-27,カドカワ,キューン,,3,,http://yurinavi.com/2023/03/22/isekaijyoshikangoku-3/,http://yurinavi.com/wp-content/uploads/2023/04/isekaijyoshikangoku-3.jpg
ロックは淑女の嗜みでして (1),福田宏,2023-04-28,白泉社,アニマル,,1,,http://yurinavi.com/2023/03/31/rockha-ladyno-1/,http://yurinavi.com/wp-content/uploads/2023/03/rockha-ladyno-1.jpg
放課後 Another Story (2),大島永遠 / 大島智,2023-04-29,ブリック,BLIC-GL,,2,,http://yurinavi.com/2023/04/20/houkago-another-story-2/,http://yurinavi.com/wp-content/uploads/2023/04/houkago-another-story-2.jpg
野球場でいただきます (3),出内 テツオ,2023-03-03,カドカワ,エース,,3,,http://yurinavi.com/2023/02/08/yakyu-jyoude-3/,http://yurinavi.com/wp-content/uploads/2023/02/yakyujo-de-3.jpg
ふたばとゆづる 王子様系女子ともっと友達になった話,寝路,2023-03-03,大洋図書,Lily love,,1,ERROR,http://yurinavi.com/2023/02/21/futabato-yuzuru-2/,http://yurinavi.com/wp-content/uploads/2023/02/hutabatoyuduru-2.jpg
黒百合ミステリー[電子版],阿南 まゆき,2023-03-03,小学館,,,1,ERROR,http://yurinavi.com/2023/02/02/kuroyuri/,http://yurinavi.com/wp-content/uploads/2023/02/kuroyuri-misuteri-.jpg
魔女の旅々 (5),白石定規 / 七緒一綺,2023-03-07,スクエニ,ガンガン,,5,,http://yurinavi.com/2023/02/10/majyono-tabitabi-comic-5/,http://yurinavi.com/wp-content/uploads/2023/02/majyonotabitabi-comic-5.jpg
Do It Yourself!! -どぅー・いっと・ゆあせるふ- (2),こゆびた べる,2023-03-07,スクエニ,ガンガン,,2,,http://yurinavi.com/2023/02/10/do-it-yourself-2/,http://yurinavi.com/wp-content/uploads/2023/02/do-it-yourself-2.jpg
異世界レシピ ニッポンの家庭料理に魔法使いと狂戦士が挑んでみた (2),河田ひより,2023-03-07,竹書房,バンブー,,2,,http://yurinavi.com/2023/02/28/isekaireshipi-2/,http://yurinavi.com/wp-content/uploads/2023/02/isekaireshipi-2.jpg
見えてますよ！愛沢さん (1),棘尾どろしー,2023-03-08,ｷﾙﾀｲﾑ,ｳﾞｧﾙｷﾘｰ,,1,,http://yurinavi.com/2023/02/06/aizawasan-1/,http://yurinavi.com/wp-content/uploads/2023/02/aizawasan-1.jpg
百合ラブスレイブ ふたりだけの放課後 (3),鈴音れな / あらおし悠,2023-03-08,ｷﾙﾀｲﾑ,ｳﾞｧﾙｷﾘｰ,,3,,http://yurinavi.com/2023/02/06/yuri-love-comic-3/,http://yurinavi.com/wp-content/uploads/2023/02/yurilove-comic-3.jpg
殺し屋やめたい！(4),外木 寸,2023-03-08,講談社,ﾓｰﾆﾝｸﾞ,,4,,http://yurinavi.com/2023/02/10/koroshiya-yametai-4/,http://yurinavi.com/wp-content/uploads/2023/02/koroshiyayametai-4.jpg
うちのメイドがウザすぎる！(10),中村カンコ,2023-03-09,双葉社,ｱｸｼｮﾝ,,10,,http://yurinavi.com/2023/02/08/uzamaid-10/,http://yurinavi.com/wp-content/uploads/2023/02/uzameido-10.jpg
ラストサマー・バケーション 上,東洋 トタン,2023-03-09,カドカワ,ブリッジ,,1,ERROR,http://yurinavi.com/2023/02/10/last-summer-1/,http://yurinavi.com/wp-content/uploads/2023/02/last-summer-1.jpg
色んな女の子とキスをしていたら、百合キスに目覚めてしまいました…。(1),betock,2023-03-10,芳文社,きらら,,1,,http://yurinavi.com/2023/02/07/kissyuri-1/,http://yurinavi.com/wp-content/uploads/2023/02/kissyuri-1.jpg
音のレガート (3),すいと,2023-03-10,芳文社,きらら,,3,,http://yurinavi.com/2023/02/07/otono-legato-3/,http://yurinavi.com/wp-content/uploads/2023/02/otonorega-to-3.jpg
マギアレコード 魔法少女まどか☆マギカ外伝 (7),富士フジノ,2023-03-10,芳文社,きらら,,7,,http://yurinavi.com/2023/02/07/magireko-7/,http://yurinavi.com/wp-content/uploads/2023/02/magireko-7.jpg
裏世界ピクニック (10),宮澤伊織 / 水野英多,2023-03-10,スクエニ,ガンガン,,10,,http://yurinavi.com/2023/02/09/urasekai-comic-10/,http://yurinavi.com/wp-content/uploads/2023/02/urasekai-comic-10.jpg
私、能力は平均値でって言ったよね！(3),FUNA / 亜方 逸樹 / iimAn,2023-03-10,スクエニ,ガンガン,,3,,http://yurinavi.com/2023/02/11/heikinchi-comic-3/,http://yurinavi.com/wp-content/uploads/2023/02/heikinchi-comic-3.jpg
はなにあらし (12),古鉢 るか,2023-03-10,小学館,サンデー,,12,,http://yurinavi.com/2023/02/11/hananiawashi-12/,http://yurinavi.com/wp-content/uploads/2023/02/hananiarashi-12.jpg
宙-CHUU- (1),手原 和憲,2023-03-10,小学館,サンデー,,1,,http://yurinavi.com/2023/03/06/chuu-1/,http://yurinavi.com/wp-content/uploads/2023/03/CHUU-1.jpg
あすにひとふで！(1),矢神 うた / 葛原 昏,2023-03-10,カドカワ,エース,,1,,http://yurinavi.com/2023/02/11/asunihitohude-1/,http://yurinavi.com/wp-content/uploads/2023/02/asunihitohude-1.jpg
わたしの百合も、営業だと思った？,アサクラネル / 千種みのり,2023-03-10,カドカワ,電撃,,1,ERROR,http://yurinavi.com/2023/02/11/watashinoyurimo-1/,http://yurinavi.com/wp-content/uploads/2023/02/watashinoyurimo-1.jpg
にゃこと博士,空次郎,2023-03-10,カドカワ,ビーム,,1,ERROR,http://yurinavi.com/2023/03/20/nyako-1/,http://yurinavi.com/wp-content/uploads/2023/03/nyako-1.jpg
スクールゾーン (5),ニンギヤウ,2023-03-10,MG,ブレイド,,5,,http://yurinavi.com/2023/02/28/school-zone-5/,http://yurinavi.com/wp-content/uploads/2023/02/school-zone-5.jpg
口に出しても宜しいですか？(2),松本ナミル,2023-03-10,ﾌﾚｯｸｽ,メテオ,,2,,http://yurinavi.com/2023/03/30/kuchinidashitemo-2/,http://yurinavi.com/wp-content/uploads/2023/03/kuchinidashitemo-2.jpg
マザーグール (9),菅原キク,2023-03-13,徳間書店,リュウ,,9,,http://yurinavi.com/2023/02/12/motherghoul-9/,http://yurinavi.com/wp-content/uploads/2023/02/mother-9.jpg
処刑少女の生きる道 (8),佐藤真登 / ニリツ,2023-03-14,SB,GA,,8,,http://yurinavi.com/2023/02/12/syokeisyoujyo-8/,http://yurinavi.com/wp-content/uploads/2023/02/syokeisyoujyo-8.jpg
魔女の旅々 (20),白石 定規 / あずーる,2023-03-14,SB,GA,,20,,http://yurinavi.com/2023/02/24/majyono-tabitabi-20/,http://yurinavi.com/wp-content/uploads/2023/02/majyonotabitabi-20.jpg
ナナがやらかす五秒前,白石 定規 / 92M,2023-03-14,SB,GA,,1,ERROR,http://yurinavi.com/2023/02/24/nanagayarakasu-1/,http://yurinavi.com/wp-content/uploads/2023/02/nanagayarakasu-1.jpg
キスからはじまる百合リズム[電子版],剛田ナギ,2023-03-14,ｷﾙﾀｲﾑ,ドリーム,,1,ERROR,http://yurinavi.com/2021/09/08/kisskarahajimaru/,http://yurinavi.com/wp-content/uploads/2021/09/kisskarahajimaru.jpg
百合不純交遊[電子版],長代ルージュ,2023-03-14,ｷﾙﾀｲﾑ,ドリーム,,1,ERROR,http://yurinavi.com/2021/08/30/yurihujyun/,http://yurinavi.com/wp-content/uploads/2021/09/yurifujyun.jpg
君と綴るうたかた (5),ゆあま,2023-03-16,一迅社,百合姫,,5,,http://yurinavi.com/2023/02/12/kimitsudu-5/,http://yurinavi.com/wp-content/uploads/2023/02/kimito-tsuduru-5.jpg
彩香ちゃんは弘子先輩に恋してる (3),Sal Jiang,2023-03-16,双葉社,ｱｸｼｮﾝ,,3,,http://yurinavi.com/2023/02/12/ayakachan-3/,http://yurinavi.com/wp-content/uploads/2023/02/ayakachan-3.jpg
魔法少女にあこがれて (9),小野中彰大,2023-03-16,竹書房,バンブー,,9,,http://yurinavi.com/2023/02/14/mahoako-9/,http://yurinavi.com/wp-content/uploads/2023/02/mahoako-9.jpg
ときめけ魔法幼女ココピュア (1),柚木涼太,2023-03-16,竹書房,バンブー,,1,,http://yurinavi.com/2023/02/14/cocopure-1/,http://yurinavi.com/wp-content/uploads/2023/02/cocopure-1.jpg
お姉さんは女子小学生に興味があります。(9),柚木涼太,2023-03-16,竹書房,バンブー,,9,,http://yurinavi.com/2023/02/14/oneesanha-jyoshisyougakuseini-9/,http://yurinavi.com/wp-content/uploads/2023/02/onesyo-9.jpg
らぶ あんど ぴーす (1),原田重光 / 蘇募ロウ,2023-03-16,講談社,マガジン,,1,,http://yurinavi.com/2023/03/16/love-and-1/,http://yurinavi.com/wp-content/uploads/2023/03/love-and-1.jpg
わたしが恋人になれるわけないじゃん、ムリムリ! (※ムリじゃなかった!?) (5),みかみてれん / むっしゅ,2023-03-17,集英社,ジャンプ,,5,,http://yurinavi.com/2023/01/31/watanare-comic-5/,http://yurinavi.com/wp-content/uploads/2023/01/watanare-comic-5.jpg
明日ちゃんのセーラー服 (11),博,2023-03-17,集英社,ジャンプ,,11,,http://yurinavi.com/2023/02/14/akebichan-11/,http://yurinavi.com/wp-content/uploads/2023/02/akebi-chan-11.jpg
コミック百合姫2023年5月号,,2023-03-17,一迅社,,,5,,http://yurinavi.com/2023/03/14/yurihime-202305/,http://yurinavi.com/wp-content/uploads/2023/03/yurihime-202305.jpg
笑顔のたえない職場です。(7),くずしろ,2023-03-20,講談社,KC,,7,,http://yurinavi.com/2023/02/23/egaono-taenai-7/,http://yurinavi.com/wp-content/uploads/2023/02/egaono-taenai-6.jpg
雨夜の月 (4),くずしろ,2023-03-20,講談社,KC,,4,,http://yurinavi.com/2023/02/23/amayono-tsuki-4/,http://yurinavi.com/wp-content/uploads/2023/02/amayonotsuki-4.jpg
リコリス・リコイル リコレクト (1),阿部 かなり,2023-03-23,カドカワ,MFC,,1,,http://yurinavi.com/2023/02/15/lycoris-recoil-recollect-1/,http://yurinavi.com/wp-content/uploads/2023/02/lycoris-recoil-recollect-1.jpg
リコリス・リコイル 公式コミックアンソロジー リピート (2),アンソロジー,2023-03-23,カドカワ,MFC,,2,,http://yurinavi.com/2023/02/15/lycoris-recoil-re-2/,http://yurinavi.com/wp-content/uploads/2023/02/lycoris-recoil-anssoro-re-2.jpg
性別不明な中性僕っ子とお姉さん,つみきつき,2023-03-23,カドカワ,MFC,,1,ERROR,http://yurinavi.com/2023/01/24/seibetsuhumeina/,http://yurinavi.com/wp-content/uploads/2023/01/seibetsuhumeina.jpg
夏・ユートピアノ,ほそやゆきの,2023-03-23,講談社,ヤンマガ,,1,ERROR,http://yurinavi.com/2023/02/28/yu-topiano/,http://yurinavi.com/wp-content/uploads/2023/02/yu-topiano.jpg
姉の親友、私の恋人。(3),藤松 盟,2023-03-25,カドカワ,電撃,,3,,http://yurinavi.com/2023/02/15/anenoshinyu-3/,http://yurinavi.com/wp-content/uploads/2023/02/anenoshinyu-3.jpg
雪解けとアガパンサス (1),なうち,2023-03-25,カドカワ,電撃,,1,,http://yurinavi.com/2023/02/24/yukidoke-1/,http://yurinavi.com/wp-content/uploads/2023/02/yukidoke-t.jpg
HGに恋するふたり (6),工藤 マコト,2023-03-25,カドカワ,エース,,6,,http://yurinavi.com/2023/02/22/hgni-koisuru-6/,http://yurinavi.com/wp-content/uploads/2023/02/hgni-koisuru-futari-6.jpg
処刑少女の生きる道 (5),佐藤真登 / 三ツ谷亮,2023-03-25,スクエニ,ガンガン,,5,,http://yurinavi.com/2023/02/24/syokeisyoujyo-comic-5/,http://yurinavi.com/wp-content/uploads/2023/02/syokeisyoujyo-comic-5.jpg
海鳥東月の『でたらめ』な事情 (4),両生類 かえる / 甘城 なつき,2023-03-25,カドカワ,MF文庫,,4,,http://yurinavi.com/2023/03/16/umidoritougetsu-4/,http://yurinavi.com/wp-content/uploads/2023/03/umidoritougetsu-4.jpg
二次元コミックマガジン 異種姦百合えっち,アンソロジー,2023-03-25,ｷﾙﾀｲﾑ,ドリーム,,1,ERROR,http://yurinavi.com/2022/10/22/isyukanyuriecchi-2/,http://yurinavi.com/wp-content/uploads/2023/03/isyukanyuriecchi-syoseki.jpg
ピエタとトランジ (1),キスガエ / 藤野可織,2023-03-27,カドカワ,ジーン,,1,,http://yurinavi.com/2023/02/06/pieta-1/,http://yurinavi.com/wp-content/uploads/2023/02/pieta-1.jpg
100日後に咲く百合,ムロマキ,2023-03-27,カドカワ,MFC,,0,,http://yurinavi.com/2023/02/08/100nichigoni-sakuyuri/,http://yurinavi.com/wp-content/uploads/2023/02/100nichigonisakuyuri.jpg
転生王女と天才令嬢の魔法革命 (5),南高春告 / 鴉ぴえろ,2023-03-27,カドカワ,電撃,,5,,http://yurinavi.com/2023/02/21/tenten-comic-5/,http://yurinavi.com/wp-content/uploads/2023/02/tenten-comic-5.jpg
私を喰べたい、ひとでなし (6),苗川 采,2023-03-27,カドカワ,電撃,,6,,http://yurinavi.com/2023/02/21/watatabe-6/,http://yurinavi.com/wp-content/uploads/2023/02/watatabe-6.jpg
お菊さんはいちゃ憑きたい (2),結野 ちり,2023-03-27,カドカワ,電撃,,2,,http://yurinavi.com/2023/02/21/okikusan-2/,http://yurinavi.com/wp-content/uploads/2023/02/okikusanha-2.jpg
夢見るメイドのティータイム (1),みやしろ,2023-03-27,カドカワ,キューン,,1,,http://yurinavi.com/2023/02/23/yumemiru-maid-1/,http://yurinavi.com/wp-content/uploads/2023/02/yumemiru-maid-1.jpg
ケイヤクシマイ (2),ヒジキ,2023-03-27,カドカワ,キューン,,2,,http://yurinavi.com/2023/02/23/keiyakushimai-2/,http://yurinavi.com/wp-content/uploads/2023/02/keiyaku-shimai-2.jpg
こみっくがーるず (9),はんざわかおり,2023-03-27,芳文社,きらら,,9,,http://yurinavi.com/2023/02/22/comic-girls-9/,http://yurinavi.com/wp-content/uploads/2023/02/comicgirls-9.jpg
こみっくがーるず画集 ～あばばーさりー！～,はんざわかおり,2023-03-27,芳文社,きらら,,1,ERROR,http://yurinavi.com/2023/03/06/comic-girls-gasyuu/,http://yurinavi.com/wp-content/uploads/2023/03/comicgirls-gasyu.jpg
おねロリキャバクラ (1),春日沙生,2023-03-27,芳文社,きらら,,1,,http://yurinavi.com/2023/02/22/oneloli-cabaclub-1/,http://yurinavi.com/wp-content/uploads/2023/02/oneloli-cabaclub-1.jpg
ゆゆ式 (13),三上小又,2023-03-27,芳文社,きらら,,13,,http://yurinavi.com/2023/02/22/yuyushiki-13/,http://yurinavi.com/wp-content/uploads/2023/02/yuyushiki-13.jpg
ニチアサ以外はやってます！(2),猫にゃん,2023-03-27,芳文社,きらら,,2,,http://yurinavi.com/2023/02/28/nichiasaigai-2/,http://yurinavi.com/wp-content/uploads/2023/02/nichiasa-2.jpg
異世界アイドル、推参です！(1),椎野せら,2023-03-27,芳文社,きらら,,1,,http://yurinavi.com/2023/03/06/isekaiidol-1/,http://yurinavi.com/wp-content/uploads/2023/03/isekaiidol-1.jpg
