title,authors,released,publisher,label,serialization,volume,notification,entry link,img src
緋百合の絆 不良お姉さんと吸血少女たち,人間無骨 / くうねりん,2020-12-24,ｷﾙﾀｲﾑ,ドリーム,,1,True,https://amzn.to/3ez13TB,http://yurinavi.com/wp-content/uploads/2020/11/hiyurino-kizuna.jpg
裏路地浪漫屋物語,くもすずめ,2020-12-24,GOT,g×g,,1,True,https://amzn.to/2JLPUUx,http://yurinavi.com/wp-content/uploads/2020/12/uraroji.jpg
イケメン女と箱入り娘 (2),もちオーレ / majoccoid,2020-12-25,一迅社,REX,,2,,https://amzn.to/37qaKSQ,http://yurinavi.com/wp-content/uploads/2020/12/ikemenonnato-hakoirimusume-2.jpg
Aチャンネル 11,黒田bb,2020-12-25,芳文社,きらら,,11,,https://amzn.to/3jfLVew,http://yurinavi.com/wp-content/uploads/2020/12/a-channel-11.jpg
ヤンキー×ジャーキー 1,由井ひな子,2020-12-25,芳文社,きらら,,1,,https://amzn.to/3juo4Ia,http://yurinavi.com/wp-content/uploads/2020/12/yanki-zyanki-1.jpg
ステラのまほう 9,くろば・U,2020-12-25,芳文社,きらら,,9,,https://amzn.to/31GB2wt,http://yurinavi.com/wp-content/uploads/2020/12/sutera-9.jpg
そらコミュニケーション 1,淡海音々葉,2020-12-25,芳文社,きらら,,1,,https://amzn.to/2HGUfY9,http://yurinavi.com/wp-content/uploads/2020/12/sorakomyu-1.jpg
ご注文はうさぎですか? 9,Koi,2020-12-25,芳文社,きらら,,9,,https://amzn.to/35wLKaY,http://yurinavi.com/wp-content/uploads/2020/11/gochiusa-9.jpg
シスコンお姉ちゃんと気にしない妹 3,桐灰 きねそ,2020-12-26,カドカワ,キューン,,3,,https://amzn.to/3oU7eGF,http://yurinavi.com/wp-content/uploads/2020/12/shikoimouto-3.jpg
にゃんこデイズ 5,たらばがに,2020-12-26,カドカワ,キューン,,5,,https://amzn.to/2TXgAmF,http://yurinavi.com/wp-content/uploads/2020/12/nyanko-5.jpg
病月 2,もちオーレ / 箕田 海道,2020-12-26,カドカワ,電撃,,2,,https://amzn.to/34YEB35,http://yurinavi.com/wp-content/uploads/2020/12/yamitsuki-2.jpg
ふらちな倫理ちゃん(1),姫海月 スグル,2020-12-26,カドカワ,電撃,,1,,https://amzn.to/3k1Vyh9,http://yurinavi.com/wp-content/uploads/2020/12/furachina-1.jpg
タプリスシュガーステップ(3),ばふぁこ / うかみ,2020-12-26,カドカワ,電撃,,3,,https://amzn.to/3et6zqC,http://yurinavi.com/wp-content/uploads/2020/12/tapurisu-3.jpg
熱帯魚は雪に焦がれる8,萩埜 まこと,2020-12-26,カドカワ,電撃,,8,,https://amzn.to/3eGQRZ0,http://yurinavi.com/wp-content/uploads/2020/12/hanigare-8.jpg
よい子先生と薄い本の悪魔(2),こめつぶ,2020-12-26,カドカワ,電撃,,2,,https://amzn.to/2Il0yAy,http://yurinavi.com/wp-content/uploads/2020/12/yoikoto-usuihonno-akuma-2.jpg
はつ恋、ときめき うすいほん 2,高橋 哲哉,2020-12-26,カドカワ,電撃,,2,,https://amzn.to/3n4qQWC,http://yurinavi.com/wp-content/uploads/2020/12/hatsukoi-tokimeki-usuihon-2.jpg
放課後(10),大島永遠 / 大島智,2020-12-26,ブリック,BLIC,,10,,https://amzn.to/2KHD4qu,http://yurinavi.com/wp-content/uploads/2020/12/houkago-10.jpg
ガレットmeets13,,2020-12-30,ガレット,ワークス,,13,,https://amzn.to/2KE1ctN,http://yurinavi.com/wp-content/uploads/2020/12/galette-meets-13.jpg
冬馬くん,天野しゅにんた,2020-12-30,ガレット,ワークス,,1,True,https://amzn.to/2WoLEwN,http://yurinavi.com/wp-content/uploads/2020/12/toumakun-1.jpg
2332,真くん,2020-11-02,バルバレ,,,2332,,https://amzn.to/2TP5ShT,http://yurinavi.com/wp-content/uploads/2020/11/2332.jpg
お姉ちゃんが好きな人,真くん,2020-11-02,バルバレ,,,1,True,https://amzn.to/326AccA,http://yurinavi.com/wp-content/uploads/2020/11/oneetyanga-sukinahito.jpg
声がだせない少女は「彼女が優しすぎる」と思っている 2 ,矢村いち,2020-11-06,秋田書店,ﾁｬﾝﾋﾟｵﾝ,,2,,https://amzn.to/3hTv0OY,http://yurinavi.com/wp-content/uploads/2020/09/koegadasenaisyoujyoha-2.jpg
サタノファニ 15,山田恵庸,2020-11-06,講談社,ヤンマガ,,15,,https://amzn.to/34RcgvD,http://yurinavi.com/wp-content/uploads/2020/11/satano-15.jpg
トラとハチドリ(4) ,ヨドカワ,2020-11-07,カドカワ,,,4,,https://amzn.to/3iNsV7J,http://yurinavi.com/wp-content/uploads/2020/10/torato-hachidori-4.jpg
二次元コミックマガジン メスガキvs優しいお姉さんVol.1,アンソロジー,2020-11-07,ｷﾙﾀｲﾑ,ドリーム,,1,,http://yurinavi.com/2020/11/07/mesugaki-vs-1/,http://yurinavi.com/wp-content/uploads/2020/11/mesugaki-vs-yasashiioneesan-1.jpg
安達としまむら 公式コミックアンソロジー ,アンソロジー,2020-11-09,カドカワ,電撃,,1,True,https://amzn.to/2Hj7r4L,http://yurinavi.com/wp-content/uploads/2020/10/adashima-ansoro-1.jpg
紅殻のパンドラ (19),六道 神士 / 士郎 正宗,2020-11-10,カドカワ,エース,,19,,https://amzn.to/35TTNz5,http://yurinavi.com/wp-content/uploads/2020/10/pandora-19.jpg
百合に挟まれてる女って、罪ですか?,みかみてれん / べにしゃけ,2020-11-10,カドカワ,電撃文庫,,1,True,https://amzn.to/31fAoG3,http://yurinavi.com/wp-content/uploads/2020/10/yurinihasamareruonnatte-1.jpg
白百合さんかく語りき。,今田 ひよこ / raemz,2020-11-10,カドカワ,電撃文庫,,1,True,https://amzn.to/3dhX25k,http://yurinavi.com/wp-content/uploads/2020/10/shirayurisankaku-1.jpg
声優ラジオのウラオモテ #03 夕陽とやすみは突き抜けたい?,二月 公 / さばみぞれ,2020-11-10,カドカワ,電撃文庫,,03,,https://amzn.to/3jxPKvL,http://yurinavi.com/wp-content/uploads/2020/10/seiyu-raziono-uraomote-3.jpg
リリィ･マーブル 3,キスガエ,2020-11-10,TORICO,,,3,,https://amzn.to/32HznXG,http://yurinavi.com/wp-content/uploads/2020/11/lily-marble-3.jpg
君とずっと幸せな日々～Happy days with you～,しのぎあさ,2020-11-11,Mosh,,,1,True,https://amzn.to/2I5qNe8,http://yurinavi.com/wp-content/uploads/2020/11/kimito-zuttoshiawase.jpg
うちのメイドがウザすぎる！7,中村カンコ,2020-11-12,双葉社,ｱｸｼｮﾝ,,7,,https://amzn.to/2EV1Wba,http://yurinavi.com/wp-content/uploads/2020/11/uzameido-7.jpg
はなにあらし(8),古鉢るか,2020-11-12,小学館,サンデー,,8,,https://amzn.to/3kAYiD1,http://yurinavi.com/wp-content/uploads/2020/11/hananiarashi-8.jpg
[電子版]執事少女とお嬢様(1),真田一輝,2020-11-12,芳文社,きらら,,1,,https://amzn.to/2K3aVtx,http://yurinavi.com/wp-content/uploads/2020/11/shitsujisyoujyoto-ojyosama-1.jpg
[電子版]執事少女とお嬢様(2),真田一輝,2020-11-12,芳文社,きらら,,2,,https://amzn.to/36JqRsL,http://yurinavi.com/wp-content/uploads/2020/11/shitsujisyoujyoto-ojyosama-2.jpg
愛していいのは、カラダだけ 2,生肉,2020-11-12,ライト,リーズン,,2,,https://amzn.to/35w0ya4,http://yurinavi.com/wp-content/uploads/2020/11/aishiteiinoha-2.jpg
私のジャンルに「神」がいます,真田 つづる,2020-11-12,カドカワ,エッセイ,,1,True,https://amzn.to/2UDF5pq,http://yurinavi.com/wp-content/uploads/2020/11/watashinozyanruni-1.jpg
マザーグール 6,菅原キク,2020-11-13,徳間書店,リュウ,,6,,https://amzn.to/32B4TXT,http://yurinavi.com/wp-content/uploads/2020/10/mother-6.jpg
ふたりエスケープ(1),田口 囁一,2020-11-18,一迅社,百合姫,,1,,https://amzn.to/2ZBQSax,http://yurinavi.com/wp-content/uploads/2020/11/futari-escape-1.jpg
ふたりエスケープ(1) 電子版,田口 囁一,2020-11-18,一迅社,百合姫,,1,,https://amzn.to/32HHeVe,http://yurinavi.com/wp-content/uploads/2020/11/futari-escape-1-denshi.jpg
欠けた月とドーナッツ(2),雨水 汐,2020-11-18,一迅社,百合姫,,2,,https://amzn.to/3mpi5Hh,http://yurinavi.com/wp-content/uploads/2020/11/kaketatsukito-2.jpg
突然何となく隣の席の同僚とキスしたくなりました,三浦 コズミ,2020-11-18,大洋図書,ミリオン,,1,True,https://amzn.to/33kjg3k,http://yurinavi.com/wp-content/uploads/2020/11/totsukiss.jpg
