title,error,authors,volume,released,publisher,label,serialization,length,link,iskindle,ranking,rating,reviews,description
スローループ ,,['うちのまいこ'],第 8 巻 (全 8 巻) ,2023-08-09,芳文社 ,,,,http://yurinavi.com/2023/07/08/slow-loop-8/,Kindle版,,"['4.8', '334']",,両親の再婚で「姉妹」になった小春とひより。夜のリレー釣りを楽しんだり、沖縄修学旅行でのマグロ釣り計画を立てたりと2年目の釣りライフも絶好調！一方釣りを通して友達となった二葉・藍子達も6年生になり、進路や将来について悩むお年頃で…？釣り糸で繋がるガールズストーリー第8巻！  
ぱちん娘。 ,,['若林稔弥'],第 4 巻 (全 5 巻) ,2023-08-09,講談社 ,,,,http://yurinavi.com/2023/07/21/pachinko-4/,Kindle版,,"['4.8', '143']",,"お金がなければパチンコを打てばいい！？『幸せカナコの殺し屋生活』の若林稔弥最新作は""ダメかわいい""ぱちん娘たち！  "
明日もまた勇者のとなり ,,['梶井 スパナ'],第 1 巻 (全 1 巻) ,2023-08-10,KADOKAWA ,,,,http://yurinavi.com/2023/07/07/asumomata-1/,Kindle版,,"['4.9', '48']",,二人の前世は魔王と勇者、そして現世で恋に落ちる――隣の席の百宮奏が気になって仕方がない黒瀬真緒。その気持ちに整理がつかないままに知ったのは、魔王である自分が勇者を殺した記憶。そして勇者は百宮と同じ顔で――。切なさが時を超えるGLストーリーが登場！  
私、能力は平均値でって言ったよね！（コミック） ,,"['ＦＵＮＡ', '亜方 逸樹', 'iimAn(Friendly Land）', '桜井竜矢']",第 4 巻 (全 4 巻) ,2023-08-10,スクウェア・エニックス ,,,,http://yurinavi.com/2023/07/21/heikinchi-comic-4/,Kindle版,,"['4.7', '101']",,Cランクパーティーとして依頼をこなすマイル達「赤き誓い」は、上を目指すためにはプロハンターとしての覚悟が足りないのではという課題に直面する。このままでは油断が原因で、メンバーの誰かが怪我をしてしまうと思ったレーナは、あえて自分達よりも強い敵に挑むことで、ハンターとして気を引き締め直そうと提案する。レーナの提案はもっともであり、「赤き誓い」は強敵が出現するという岩山の依頼を受けることに。しかし、レーナの様子がいつもと少し違うことにマイルは疑問を抱いていた…。そんなマイル達を試すかのように、「赤き誓い」に次々と試練が降りかかる――!!  
サキュバス百合えっち Vol.1,,,,2023-08-10,,,,,http://yurinavi.com/2023/08/29/succubus-yuri-1/,,,,,
恋と呼ぶには青すぎる ,,['真くん'],第 2 巻 (全 2 巻) ,2023-08-12,KADOKAWA ,,,,http://yurinavi.com/2023/07/07/koitoyobuniha-2/,Kindle版,,"['4.8', '89']",,熟れた気持ちに、あなたが触れる。男女4人で織り成す異色のガールズラブ！居酒屋に勤める京子と もっと仲良くなりたいみどりさんは、 距離を縮めようと名前で呼ぶように。 一方馬場も、都との交流で少しずつ思考がほぐれていく。それぞれが思い悩む中、4人で遊園地に行くことになり…？  
瑠璃の宝石 ,,['渋谷 圭一郎'],第 4 巻 (全 4 巻) ,2023-08-12,KADOKAWA ,,,,http://yurinavi.com/2023/07/31/rurino-houseki-4/,Kindle版,,"['4.7', '220']",,石が語る歴史に、耳をすまして。調査を重ね、サファイア産地の謎を解いたルリ。4巻では研究室のみんなと一緒にトパーズ採集の旅に出る。鍾乳洞や温泉旅館を訪れたルリたちは、旅先ならではの鉱物と出会う！地球が残した手がかりをもとに鉱物の居場所を解き明かす、本格ジュエルハントアドベンチャー！おなじみ描き下ろしコラムに加えて、おまけマンガも3篇収録です。  
魔法少女にあこがれて ,,['小野中彰大'],第 10 巻 (全 10 巻) ,2023-08-17,竹書房 ,,,,http://yurinavi.com/2023/05/21/mahoako-10/,Kindle版,,"['4.9', '572']",,★☆2024年TVアニメ放送決定！！！☆★ベーゼによって暴かれるイミタシオの正体・・・。一切認めようとしないイミタシオのお尻に、真化を会得したベーゼの魔の手が迫る！そして、追い討ちをかけるように捕らえたベルゼルガの公開処刑を宣言するエノルミータ。果たしてイミタシオはベルゼルガを救うことができるのか！？がんばれ魔法少女！負けるなシオちゃんズ！サディスティックマジカルコメディ光堕の第10巻！！★単行本カバー下画像収録★ 電子版は連載時のカラーを収録しております！  
舞ちゃんのお姉さん飼育ごはん。 ,,['秋津貴央'],第 4 巻 (全 4 巻) ,2023-08-17,竹書房 ,,,,http://yurinavi.com/2023/05/25/maichan-4/,Kindle版,,"['5.0', '214']",,オカンみあふれる小学生×引きこもり女子高生のあったか二人ぼっち飯♪しかし、舞によるタマの飼育生活に不穏な影が忍び寄る・・・！！小学生でも作れるお料理レシピが目白押し！新潟を舞台としたバブみグルメコメディ、待望の第4巻！！★単行本カバー下画像収録★WEBコミックガンマぷらすで配信された番外編5ページを電子版のみに収録！  
お姉さんは女子小学生に興味があります。 ,,['柚木涼太'],第 10 巻 (全 10 巻) ,2023-08-17,竹書房 ,,,,http://yurinavi.com/2023/07/21/oneesanha-jyoshisyougakuseini-10/,Kindle版,,"['4.9', '101']",,ついに小恋の母親に最悪のタイミングでみのりのロリコン＆小恋とのガチ恋がバレちゃう！？高校教師と女子小学生の暴走おねロリコメディついに10巻突破！！★単行本カバー下画像収録★総扉と目次をカラーで収録しております！また、共通の描き下ろし特典ペーパーを収録しております！  
みなそこにて ,,['冬虫カイコ'],第 3 巻 (全 3 巻) ,2023-08-17,双葉社 ,,,,http://yurinavi.com/2023/07/08/minasokonite-3/,Kindle版,,"['4.7', '60']",,“人喰い人魚”の古い民話が残る田舎町で、永遠の孤独を生きる存在“千年さん”。町が未曾有の大雨に襲われるなか、ついに露わになる人魚伝説の真相。そして初めて彼女と触れあった人間・令子と、その孫娘・一花による、種族と時を超えた交流の行く末は…。同じ世界では生きられない【孤独な人魚×少女たち】のミステリアス異類譚、ここに完結――。  
らぶ　あんど　ぴーす ,,"['原田重光', '蘇募ロウ']",第 2 巻 (全 2 巻) ,2023-08-17,講談社 ,,,,http://yurinavi.com/2023/07/31/love-and-2/,Kindle版,,"['4.7', '15']",,聖母から「厄災から世界を守る」ように語りかけられたが、戸惑いしかない！百合の波動を感じる男・幸田マモル。透明化能力を使い、エロハプニングを乗り越えカップルの絆を修復する学園の仲直し職人の今回のお相手はーー。「百合営業」本当は超険悪な人気百合YouTuberまゆあみ。「百合幽霊」死んだ恋人への後悔を抱き続ける写真部員。  
ぜんぶ壊して地獄で愛して ,,['くわばら たもつ'],第 1 巻 (全 1 巻) ,2023-08-18,一迅社 ,,,,http://yurinavi.com/2023/07/03/zenbukowashite-1/,Kindle版,,"['4.8', '172']",,吉沢来未は生徒会長も務める優等生だが、母の束縛などのストレスで破滅的な願望を募らせていた。ある日、教師の頼みで不登校気味なクラスメイト・直井と話をするが、上辺だけの言葉で話す吉沢を直井は蔑み、更には「ある動画」で脅してきた。その動画には、万引きをしようとする吉沢が映っていて…。逃げ場のない毎日でもがく少女たちの、バイオレンス青春ストーリー。  
